id,timestamp_utc,local_time,user_screen_name,text,possibly_sensitive,retweet_count,like_count,reply_count,lang,to_username,to_userid,to_tweetid,source_name,source_url,user_location,lat,lng,user_id,user_name,user_verified,user_description,user_url,user_image,user_tweets,user_followers,user_friends,user_likes,user_lists,user_created_at,user_timestamp_utc,collected_via,match_query,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,collection_time,url,place_country_code,place_name,place_type,place_coordinates,links,domains,media_urls,media_files,media_types,media_alt_texts,mentioned_names,mentioned_ids,hashtags
1652311506011258880,1682776736,2023-04-29T13:58:56,Mirtschi2804,"RT @alissa_claudia: Sozis - absolut Lustigste.

Im Bund fallen sie grad über Grüne her, wohl zu recht, und gleichzeitig wollen sie Haslauer zwingen mit SPÖ und Grünen zu koalieren.

Grüne - im Bund Saulus, im Land Paulus. Gleichzeitig.",0,0,0,0,de,,,,,,,,,1373361873333202955,Mirtschi2804,0,,,https://pbs.twimg.com/profile_images/1445103644660076546/gHP5iWCG_normal.jpg,94101,1470,1267,,2,2021-03-20T19:52:53,1616269973,,1,1652248083948789760,alissa_claudia,1143039246,1682761615,,,,,2023-05-02T10:31:00.365972,https://twitter.com/Mirtschi2804/status/1652311506011258880,,,,,,,,,,,alissa_claudia,1143039246,
1652248083948789760,1682761615,2023-04-29T09:46:55,alissa_claudia,"Sozis - absolut Lustigste.

Im Bund fallen sie grad über Grüne her, wohl zu recht, und gleichzeitig wollen sie Haslauer zwingen mit SPÖ und Grünen zu koalieren.

Grüne - im Bund Saulus, im Land Paulus. Gleichzeitig.",0,4,35,6,de,,,,,,,,,1143039246,Frau Elch,0,"Nein! I don't consent to you all talking about me behind my back, so you have no need for my pronouns.",,https://pbs.twimg.com/profile_images/1605965225177616385/C8Z0YW6M_normal.jpg,169074,2453,1439,,26,2013-02-02T18:04:48,1359828288,retweet,1,,,,,,,,,2023-05-02T10:31:00.365950,https://twitter.com/alissa_claudia/status/1652248083948789760,,,,,,,,,,,,,
1652309418552246272,1682776238,2023-04-29T13:50:38,Klaus96013468,RT @Schneide3R: @Steirerin Haslauer ist genauso charakterlos wie alle seine Kollegen und Kolleginnen,0,0,0,0,de,,,,,,,,,1031508417419075584,Klaus,0,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2257,32,81,,0,2018-08-20T11:49:05,1534765745,,1,1652025513081184266,Schneide3R,1517231929145401345,1682708550,,,,,2023-05-02T10:31:00.366214,https://twitter.com/Klaus96013468/status/1652309418552246272,,,,,,,,,,,Schneide3R|Steirerin,1517231929145401345|109529448,
1652025513081184266,1682708550,2023-04-28T19:02:30,Schneide3R,@Steirerin Haslauer ist genauso charakterlos wie alle seine Kollegen und Kolleginnen,0,1,5,2,de,Steirerin,109529448,1652022568830812171,,,"Wien, Österreich",,,1517231929145401345,RonaldSchneide3,0,Pensionist,,https://pbs.twimg.com/profile_images/1517246757624860672/z1Z4ejNo_normal.jpg,4176,260,329,,1,2022-04-21T20:01:28,1650571288,retweet,1,,,,,,,,,2023-05-02T10:31:00.366187,https://twitter.com/Schneide3R/status/1652025513081184266,,,,,,,,,,,Steirerin,109529448,
1652307262449303553,1682775724,2023-04-29T13:42:04,BineBee_tweets,"@MarkelGerald Meisterwerk? Geh bitte. Spätestens seit NÖ so durchschaubar. Haslauer will die FPÖ - wie es geht hat ihm Parteikollegin Mikl Leitner in NÖ vorgezeigt. Und wie in NÖ braucht die ÖVP jetzt einen Schuldigen, dass sie mit der „bösen“ FPÖ paktiert. So deppert ist der Wähler wieder net",0,0,5,2,de,MarkelGerald,822774456951144450,1652213404814147590,,,,,,825410336673116166,BineBee,0,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,288,19,369,,0,2017-01-28T18:28:54,1485628134,,1,,,,,,,,,2023-05-02T10:31:00.366396,https://twitter.com/BineBee_tweets/status/1652307262449303553,,,,,,,,,,,MarkelGerald,822774456951144450,
1652306470715768833,1682775535,2023-04-29T13:38:55,mayer_wolfgang,"RT @TomMayerEuropa: Man sollte sich hüten, den Salzburger LH wegen seines ungewöhnlichen Vorschlags der Dreierkoalition zu verurteilen. Koalition von ÖVP und SPÖ hätte nur eine Stimme Überhang im Landtag. Da müsste nur eine/r Abgeordnete/r abspringen, und die Regierung crasht https://www.derstandard.at/story/2000145958391/haslauer-gibt-der-spoe-bedenkzeit-fuer-salzburger-koalitionsverhandlungen",0,0,0,0,de,,,,,,,,,360559977,Wolfgang Mayer,0,,,https://pbs.twimg.com/profile_images/1169146222759862275/D07wSPCL_normal.jpg,4743,922,1527,,9,2011-08-23T12:04:45,1314101085,,1,1652219536010014721,TomMayerEuropa,547173846,1682754808,,,,,2023-05-02T10:31:00.366645,https://twitter.com/mayer_wolfgang/status/1652306470715768833,,,,,,,,,,,TomMayerEuropa,547173846,
1652304281180033024,1682775013,2023-04-29T13:30:13,HowardMarks710,"RT @Steirerin: Salzburger Sondierungsgespräche:
ÖVP + FPÖ + SPÖ? 
Haslauer weiß genau, dass sich die SPÖ auf diese absurde Kombination niemals einlässt. 
Fazit: Er kann sich vor aller Welt die Hände in Unschuld waschen und sagen: „Seht her, ich hab’s versucht, aber die SPÖ will ja nicht!“",0,0,0,0,de,,,,,,,,,1592847741436235776,AngryFella,0,,,https://pbs.twimg.com/profile_images/1649948445120118785/3hDWRr8A_normal.jpg,18958,754,3008,,5,2022-11-16T11:51:18,1668599478,,1,1652022568830812171,Steirerin,109529448,1682707848,,,,,2023-05-02T10:31:00.366832,https://twitter.com/HowardMarks710/status/1652304281180033024,,,,,,,,,,,Steirerin,109529448,
1652022568830812171,1682707848,2023-04-28T18:50:48,Steirerin,"Salzburger Sondierungsgespräche:
ÖVP + FPÖ + SPÖ? 
Haslauer weiß genau, dass sich die SPÖ auf diese absurde Kombination niemals einlässt. 
Fazit: Er kann sich vor aller Welt die Hände in Unschuld waschen und sagen: „Seht her, ich hab’s versucht, aber die SPÖ will ja nicht!“",0,13,97,25,de,,,,,,"Graz, Österreich",,,109529448,Monika M.🔴🇺🇦Benji🌈+ Molly🌈+ Fesy🌈,0,"„Love is always bestowed as a gift - freely, willingly and without expectation.We don‘t love to be loved; we love to love.“🐶#VEGAN",,https://pbs.twimg.com/profile_images/1481656916950482948/j_4Kb6dP_normal.jpg,52232,1428,1300,,10,2010-01-29T10:47:34,1264762054,retweet,1,,,,,,,,,2023-05-02T10:31:00.366809,https://twitter.com/Steirerin/status/1652022568830812171,,,,,,,,,,,,,
1652303369359306754,1682774796,2023-04-29T13:26:36,doncarlos332,"Mit @svazek steht eine Person an der Spitze der FPÖ-Sbg, die enge Kontakte zu rechtsextremen Identitären pflegt – dennoch plant LH Haslauer eine schwarz-blaue Koalition. Nicht mit uns: Keine Koalition mit der FPÖ! Jetzt unterzeichnen: https://actions.aufstehn.at/fpoesbg?source=share-tw via @aufstehnat",0,0,0,0,de,,,,,,,,,1277767304898588672,don carlos 33 (schererandi) 🌈☮🧡,0,"offen für alle und alles, seit jeher Rot/Grün, derzeit jedoch ROT und kein Grün mehr",,https://pbs.twimg.com/profile_images/1631331457099526144/tOzTpOCj_normal.png,63501,276,318,,2,2020-06-30T00:54:45,1593478485,,1,,,,,,,,,2023-05-02T10:31:00.367001,https://twitter.com/doncarlos332/status/1652303369359306754,,,,,https://actions.aufstehn.at/fpoesbg?source=share-tw,,,,,,aufstehnat|svazek,2951645097|1131147129215508480,
1652302688397283328,1682774633,2023-04-29T13:23:53,BineBee_tweets,"@alissa_claudia ÖVP- absolut durchschaubar.  Haslauer koaliert mit der FPÖ - wie es geht hat ihm Parteikollegin Mikl Leitner in NÖ vorgezeigt. Und wie in NÖ braucht die ÖVP jetzt Schuldigen, dass sie mit der „bösen“ FPÖ paktieren. 
So durchschaubar.",0,0,2,0,de,alissa_claudia,1143039246,1652248083948789760,,,,,,825410336673116166,BineBee,0,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,288,19,369,,0,2017-01-28T18:28:54,1485628134,,1,,,,,,,,,2023-05-02T10:31:00.367105,https://twitter.com/BineBee_tweets/status/1652302688397283328,,,,,,,,,,,alissa_claudia,1143039246,
1652299698668023810,1682773921,2023-04-29T13:12:01,vienna1011,"RT @Rosa_Sonnenhut: Rückgrat: Egger - SPÖ 
Kein Rückgrat: Haslauer - ÖVP",0,0,0,0,de,,,,,,"Wien, Österreich",,,53666782,Andrea Seidl🇺🇦,0,"DGKP a.d.Front, Wissenssammlerin, Humanistin u. Animal-rights-Verfechterin,Sozialdemokratin aus Überzeugung, Hasskommentare,Trolle u. Neonazis werden geblockt",,https://pbs.twimg.com/profile_images/1600898307009777665/oYhj1ECw_normal.jpg,38323,887,655,,3,2009-07-04T13:18:22,1246713502,,1,1651965657926311948,Rosa_Sonnenhut,994483447463890944,1682694279,,,,,2023-05-02T10:31:00.367275,https://twitter.com/vienna1011/status/1652299698668023810,,,,,,,,,,,Rosa_Sonnenhut,994483447463890944,
1651965657926311948,1682694279,2023-04-28T15:04:39,Rosa_Sonnenhut,"Rückgrat: Egger - SPÖ 
Kein Rückgrat: Haslauer - ÖVP",0,13,114,5,de,,,,,,,,,994483447463890944,Rosa Sonnenhut,0,"""Auch der Laubfrosch
quakt ihr zu:
""Du bist du!
Und wer das nicht weiss,
ist dumm!""
Bumm.""",,https://pbs.twimg.com/profile_images/1029746261962960896/aYTFA7b5_normal.jpg,108373,5291,1252,,20,2018-05-10T07:45:05,1525938305,retweet,1,,,,,,,,,2023-05-02T10:31:00.367254,https://twitter.com/Rosa_Sonnenhut/status/1651965657926311948,,,,,,,,,,,,,
1652298104282939394,1682773540,2023-04-29T13:05:40,heigion,"RT @kay_dankl: 1) Einige Ideen, die nicht besonders links sind & sogar für d. ÖVP umsetzbar wären: Das habe ich diese Woche beim Empfangsgespräch mit LH Haslauer mitgebracht. Es war ein respektvoller Austausch, auch wenn uns weltanschaulich & wohnungspolitisch sehr viel trennt. @krone_salzburg https://twitter.com/kay_dankl/status/1652267890731515905/photo/1",0,0,0,0,de,,,,,,,,,2340812917,heifi #18er,0,"im Unruhestand, aber nicht uninteressiert",,https://pbs.twimg.com/profile_images/1417941225454415872/fWy0z-Wt_normal.jpg,194326,1992,2435,,32,2014-02-12T19:09:26,1392232166,,1,1652267890731515905,kay_dankl,84951490,1682766337,,,,,2023-05-02T10:31:00.367662,https://twitter.com/heigion/status/1652298104282939394,,,,,,,,,,,kay_dankl,84951490,
1652295906597785600,1682773016,2023-04-29T12:56:56,Edith41209888,LH Haslauer möchte mit der FPÖ koalieren. Ein weiterer schwarz-blauer Pakt in AT. Für die #NRW24 verheißt das nichts Gutes. Wir fordern von Haslauer und der ÖVP Salzburg: Keine Koalition mit der FPÖ! Unterzeichne jetzt auch du https://actions.aufstehn.at/fpoesbg?source=share-tw via @aufstehnat,0,0,0,0,de,,,,,,,,,1361054648799547395,Edith,0,,,https://pbs.twimg.com/profile_images/1633251048012804097/pdeTetpc_normal.jpg,5955,107,32,,0,2021-02-14T20:48:30,1613335710,,1,,,,,,,,,2023-05-02T10:31:00.367841,https://twitter.com/Edith41209888/status/1652295906597785600,,,,,https://actions.aufstehn.at/fpoesbg?source=share-tw,,,,,,aufstehnat,2951645097,NRW24
1652295510185615368,1682772922,2023-04-29T12:55:22,Dunlopinlop,"RT @RobertSchalle11: Haslauer strebt in Salzburg eine 3er Koalition mit SPÖ und FPÖ an. Sollte die SPÖ da nicht mitmachen, bleibt ihm leider nichts anderes übrig, als mit der FPÖ zu koalieren. So wie Mikl Leitner mit der FPÖ zusammengehen musste, weil Hergovich (SPÖ) unverschämte Forderungen stellte.",0,0,0,0,de,,,,,,,,,892686410066665473,Eva Klepp-Afritsch,0,freischaffende Künstlerin,,https://pbs.twimg.com/profile_images/1643315924844290049/k6dvIcP0_normal.jpg,9986,248,175,,0,2017-08-02T10:00:00,1501668000,,1,1651927259161214976,RobertSchalle11,1450866894219747331,1682685124,,,,,2023-05-02T10:31:00.368125,https://twitter.com/Dunlopinlop/status/1652295510185615368,,,,,,,,,,,RobertSchalle11,1450866894219747331,
1651927259161214976,1682685124,2023-04-28T12:32:04,RobertSchalle11,"Haslauer strebt in Salzburg eine 3er Koalition mit SPÖ und FPÖ an. Sollte die SPÖ da nicht mitmachen, bleibt ihm leider nichts anderes übrig, als mit der FPÖ zu koalieren. So wie Mikl Leitner mit der FPÖ zusammengehen musste, weil Hergovich (SPÖ) unverschämte Forderungen stellte.",0,8,38,7,de,,,,,,,,,1450866894219747331,Robert Schaller,0,"Durchschnittsbürger, Steuerzahler, Optimist, Fotograf.
Politisch gefestigt.",,https://pbs.twimg.com/profile_images/1465340663315275777/Q-Xea9I6_normal.jpg,451,1917,1855,,3,2021-10-20T16:52:04,1634748724,retweet,1,,,,,,,,,2023-05-02T10:31:00.368095,https://twitter.com/RobertSchalle11/status/1651927259161214976,,,,,,,,,,,,,
